processing_ns,response_ns
43088046,48797517
26147002,50075710
25317402,48224977
25036238,39197199
101457448,114882057
82551562,93003893
50755785,61632444
123119891,132678942
121659842,132151778
111691853,115822727
6987043,7222752
7710981,8011703
8595485,8779435
9329844,9525466
10202656,10406373
9474550,9763890
6553597,6788756
5834609,6061300
6842117,7053910
5281917,5497036
5930661,6253326
7082796,7328644
7124425,7297944
6874167,7052627
23576237,23887810
23396856,23774815
6450000,6819824
21291657,21637796
19179026,19617670
13599392,14023379
13355999,13683342
12169088,12539373
12518374,12893979
17235796,17638993
15335969,15590022
13959458,14154188
7001440,7677518
11712540,12025736
4894008,5263501
7701763,8002746
13069072,13476999
11818081,12017681
9834224,10278269
9747067,9920448
6242996,6441674
27011037,27230595
21407047,21739541
27069690,27500109
21484655,21975801
4989961,5326792
17023743,17301160
16242144,16625814
6641625,7000909
9543219,9835285
14066311,14359949
8526774,8755038
13861300,14064958
24504675,24945494
24046102,25623546
11288332,11557654
13058212,13374404
5261177,5443554
16228799,16649470
20634316,21031132
16024178,16835493
14747328,14972677
20569332,20958643
13518529,13717728
12971176,13284834
5348102,5626702
5034576,5185743
12767859,13023115
13045037,13348114
13772071,14092822
14045992,14367915
9591591,9738381
9597983,9833432
24923392,25192153
24962085,25264591
12822112,13078220
9737641,10022973
13222634,13411664
12957329,13225129
4937060,5179461
12657339,12984913
4864832,5063500
13408328,13595445
13353393,13644628
24925637,25178739
24925446,25218714
12671696,12921541
4941598,5110059
4938843,5176666
12320977,12564883
4955014,5242862
13642705,13926204
5163651,5382447
11620484,11839771
19415044,19624383
19225493,19489726
5220690,5372679
4993679,5232964
12326088,12474410
4941398,5125869
12749083,13014379
11894236,12225876
5540379,5732574
12319816,12489939
21931425,22191550
22069518,22225405
4964392,5182857
5060856,5346079
12394369,12716541
21743628,22001649
21787883,22098163
16196467,16549068
16579546,16862956
5781397,5919750
12675443,12918024
14525926,14778116
12296561,12528432
12868070,13136731
12867720,13296175
23921154,24171551
23908460,24174987
13136651,13427895
12716211,12956929
12222771,12502014
23249736,23556941
23325891,23574985
12802795,13082188
13975890,14264198
16408591,16712921
12981726,13200433
5549666,5756359
22307562,22618303
21139468,21331012
4895130,5130649
21135050,21381168
20566918,20744034
5102425,5369783
11981312,12221399
11628780,11873887
13087357,13374434
9809127,9966566
10098608,10335799
18418418,18605503
15480644,15751229
14058506,14286490
12441427,12584199
4943463,5027222
13161659,13400003
4983748,5150957
4848631,5167238
4961487,5077728
5091004,5227554
12160904,12412472
4951918,5052139
12031937,12154761
9410436,9516027
12842161,13000241
10772380,11030511
6285657,6501838
12865184,13081236
5083268,5180874
12640747,12906673
7202904,7379040
11609343,11822639
11615735,11945353
6373925,6512158
13234828,13356160
5955018,6165819
6386800,6598082
6603372,6876071
13994985,14229391
9426418,9690320
13323447,13566009
10795573,10947593
13004960,13285574
6017266,6236043
4864673,4949835
11775821,11993104
11738439,11973226
5041859,5225428
4882466,5111292
12824087,13050607
4915308,5015088
4966376,5141128
13408739,13605623
4936960,5030758
12366485,12506863
4912273,5170825
4991323,5400812
6710486,7065241
13339007,13558965
5045847,5217965
12790371,12943984
9591251,9837089
9692294,9874309
15651038,15861509
