processing_ns,response_ns
57283640,60640302
24339222,25221342
6664770,7345997
7495282,8114040
6627409,7359663
17742403,18523689
6760502,7503426
16371783,17119597
6402290,6977004
6486330,6905999
15325220,15776749
9289678,9646438
6556614,6912502
15700594,16127367
8052482,8492721
13464106,13906168
8230952,8732076
8091026,8565930
12316882,12735419
9486212,9932542
