processing_ns,response_ns
136113736,141500908
12757561,17360000
11311749,15303536
12782438,74124376
9698278,9954154
25644137,73356083
23478003,74408957
14347797,73339962
15164993,91107719
21892787,138510608
144398133,184011957
16271889,81972072
16763835,87932847
10467362,125617018
20685078,130694542
190360079,249593443
214660318,255268445
160708535,170440066
152486587,160555724
188495310,214425791
133920702,138729493
10682181,12393287
7228889,7484895
16003669,16235861
11496570,11721839
12286904,12502264
8326628,8578056
5978138,6981958
9077135,9267147
12844135,14962027
7167581,7726756
8611880,8886663
13086046,13287018
10332194,12038412
11426266,12004006
8902003,9734217
5675943,5900440
8138380,8351075
9249634,9590874
8442408,8589158
5223201,5417681
5311078,5520697
4887332,5103163
4906879,5124764
9660065,9857782
9683400,9874684
6531782,6693038
4914985,5045403
4969949,5118101
7011986,7148967
7158825,7360709
4996630,5248038
7111154,7268564
5001789,5183235
5518603,5642880
5101049,5257035
5054389,5265692
6671106,6888249
4991510,5245664
6608777,6730459
5667126,5863460
5261564,5497663
5006378,5197011
8712432,9004227
11478356,11693605
5162355,5351666
11500498,11696250
6305631,6469484
9634496,9813998
9599910,9798058
5408713,5633280
7231012,7465748
7227425,7432555
6284462,6465015
5690019,5881363
6763502,6917515
6372779,6568061
6707226,6840600
5061844,5246575
12820941,13060677
5172804,5399276
22480416,22837785
22510463,22856882
13651342,13895506
13550800,13779636
13452193,14783918
6217183,13161871
20503813,21177235
20241985,20536606
18040355,18424186
19989595,21265714
21969684,22379343
9428655,9664043
9375694,9602175
20824774,24057467
8909628,9164773
6746239,6901194
7436854,7558114
7226473,7370147
12278127,12430558
6395342,6693680
13470347,13744439
9564454,9721293
9586626,9815652
6040327,6301553
4937406,5067274
13767342,14051513
8253819,8444121
10554077,11158167
7263064,7452324
10775027,10985407
19706857,19959749
11216247,11379648
7909183,8078846
9956589,10136863
24454463,24733614
24933854,25193880
26327336,26635543
18700301,18917364
4982794,5132799
10620514,10854588
10579846,10896238
14465471,14862186
15712024,16038164
5168086,5358800
7756532,8039281
13007065,13340049
25047821,25460567
24103464,24317932
9564935,9925842
8726158,8883357
5516960,5656365
4897682,5003704
5488105,5617642
23913783,24128822
24019585,24264511
21153971,21774743
5020625,5186622
5688647,5842058
20278735,20421817
5114274,5310828
5531408,5671795
5852368,6129205
13032855,13258595
4976170,5113121
13033615,13238586
5127960,5253629
9611743,9757661
22263422,23401369
9647290,9770505
6685875,8336938
7805416,7961943
24047387,24628023
9599890,9729106
10232574,11183494
21348891,21646608
21594048,21752230
5493125,5641748
22415752,23897923
18791735,18946831
5486331,5648390
9288739,9452009
8765965,8927641
8256946,8454531
8767637,8938202
16087849,16272952
13105222,13313899
5069929,5261364
6419978,6674633
10986139,11236034
10948828,11058456
14817241,15037028
6527173,8477926
10490766,10634380
12322814,12497136
12755327,13049347
